,Brand,Continent,Country,Latitude,Longitude,Sentiment
9124,Media Co.,North America,Bermuda,38.8949924,-77.0365581,3
9125,Automotive Co.,North America,United States,39.7837304,-100.4458825,3
9126,Automotive Co.,North America,Canada,61.0666922,-107.991707,4
9127,Fashion Co.,North America,United States,36.7014631,-118.755997,-4
9128,Automotive Co.,Asia,Turkey,41.0096334,28.9651646,2
9129,Media Co.,Asia,Thailand,14.8971921,100.83273,0
9130,Restaurant Chain,South America,Paraguay,-23.3165935,-58.1693445,3
9131,Fashion Co.,Asia,Afghanistan,33.6938118,73.0651511,-4
9132,Automotive Co.,North America,United States,36.7014631,-118.755997,1
9133,Media Co.,North America,Mexico,34.0536909,-118.242766,4
9134,Media Co.,North America,Bermuda,40.0757384,-74.4041622,-3
9135,Automotive Co.,Europe,United Kingdom,53.4071991,-2.99168,-1
9136,Fashion Co.,Africa,Egypt,26.2540493,29.2675469,0
9137,Restaurant Chain,North America,United States,43.6534817,-79.3839347,2
9138,Automotive Co.,Europe,United Kingdom,51.5073219,-0.1276474,2
9139,Media Co.,North America,United States,44.4308975,-89.6884637,0
9140,Restaurant Chain,North America,United States,35.0841034,-106.650985,0
9141,Automotive Co.,North America,Bermuda,39.9527237,-75.1635262,2
9142,Automotive Co.,North America,United States,39.7837304,-100.4458825,0
9143,Media Co.,North America,Bermuda,42.3602534,-71.0582912,0
9144,Automotive Co.,Africa,Swaziland,-26.205,28.049722,0
9145,Automotive Co.,North America,Bermuda,40.7127281,-74.0060152,0
9146,Fashion Co.,Europe,Belgium,51.77046785,0.464669774123004,-3
9147,Restaurant Chain,Europe,Denmark,57.7072326,11.9670171,0
9148,Fashion Co.,Asia,India,22.3511148,78.6677428,5
9149,Fashion Co.,Africa,Benin,6.4550575,3.3941795,2
9150,Automotive Co.,North America,United States,30.2711286,-97.7436995,0
9151,Fashion Co.,Europe,United Kingdom,52.2928116,-3.73893,-1
9152,Media Co.,North America,United States,43.6534817,-79.3839347,0
9153,Media Co.,North America,United States,43.6534817,-79.3839347,0
9154,Automotive Co.,North America,United States,43.0349931,-87.922497,0
9155,Fashion Co.,Europe,Ireland,51.898627,-8.4705942,-3
9156,Media Co.,Europe,Ireland,53.3497645,-6.2602732,0
9157,Media Co.,North America,Bahamas,35.6729639,-79.0392919,0
9158,Media Co.,North America,Bermuda,39.9527237,-75.1635262,3
9159,Media Co.,Europe,United Kingdom,52.5310214,-1.2649062,4
9160,Media Co.,North America,Mexico,34.0536909,-118.242766,3
9161,Automotive Co.,North America,Canada,49.2608724,-123.1139529,4
9162,Automotive Co.,Europe,United Kingdom,51.5073219,-0.1276474,3
9163,Automotive Co.,Europe,United Kingdom,54.9058512,-1.3828727,2
9164,Fashion Co.,North America,Bahamas,27.7567667,-81.4639835,-1
9165,Automotive Co.,North America,Bermuda,40.0757384,-74.4041622,4
9166,Restaurant Chain,Europe,Belgium,51.77046785,0.464669774123004,-4
9167,Fashion Co.,Africa,Egypt,26.2540493,29.2675469,-4
9168,Media Co.,North America,Mexico,34.0536909,-118.242766,0
9169,Automotive Co.,North America,United States,37.7790262,-122.419906,0
9170,Media Co.,Europe,United Kingdom,51.7520131,-1.2578499,0
9171,Media Co.,North America,Mexico,34.0536909,-118.242766,3
9172,Fashion Co.,Asia,Malaysia,4.5693754,102.2656823,-3
9173,Fashion Co.,Asia,Nepal,28.6138954,77.2090057,-4
9174,Fashion Co.,Asia,Jordan,31.1667049,36.941628,-4
9175,Fashion Co.,Europe,United Kingdom,52.5310214,-1.2649062,1
9176,Automotive Co.,Asia,India,18.521428,73.8544541,2
9177,Restaurant Chain,North America,United States,33.2588817,-86.8295337,3
9178,Media Co.,North America,Bermuda,38.8950368,-77.0365427,3
9179,Automotive Co.,North America,Bahamas,26.2378597,-80.1247667,0
9180,Media Co.,Asia,India,17.360589,78.4740613,0
9181,Automotive Co.,North America,United States,37.7884969,-122.3558473,4
9182,Media Co.,North America,United States,38.7251776,-105.607716,0
9183,Media Co.,North America,Bermuda,40.7556561,-73.5876273,3
9184,Restaurant Chain,North America,United States,38.27312,-98.5821872,0
9185,Automotive Co.,North America,United States,29.7589382,-95.3676974,2
9186,Media Co.,North America,United States,38.7604815,-92.5617875,-1
9187,Media Co.,Europe,French,46.603354,1.8883335,0
9188,Media Co.,North America,United States,43.6534817,-79.3839347,1
9189,Restaurant Chain,Asia,India,22.3511148,78.6677428,3
9190,Fashion Co.,Europe,Malta,37.0646139,15.2907196,-4
9191,Media Co.,Europe,United Kingdom,52.0429797,-0.7589607,-4
9192,Restaurant Chain,Europe,Spain,39.3260685,-4.8379791,3
9193,Media Co.,North America,Bahamas,28.0394654,-81.9498042,-2
9194,Media Co.,North America,United States,39.7837304,-100.4458825,3
9195,Media Co.,North America,Puerto Rico,18.2214149,-66.4132817951385,-4
9196,Fashion Co.,North America,United States,37.8708393,-122.272863,0
9197,Media Co.,North America,United States,43.6534817,-79.3839347,1
9198,Media Co.,Europe,United Kingdom,51.4538022,-2.5972985,-4
9199,Media Co.,North America,Saint Pierre and Miquelon,46.500283,-66.750183,-3
9200,Media Co.,North America,Bermuda,40.7127281,-74.0060152,3
9201,Media Co.,North America,Bahamas,35.6729639,-79.0392919,3
9202,Restaurant Chain,North America,United States,39.7837304,-100.4458825,3
9203,Fashion Co.,North America,Bermuda,40.7127281,-74.0060152,-4
9204,Fashion Co.,Asia,Pakistan,30.7334421,76.7797143,-3
9205,Restaurant Chain,North America,Mexico,22.5000485,-100.0000375,3
9206,Restaurant Chain,Europe,Switzerland,46.7985624,8.2319736,-2
9207,Restaurant Chain,South America,Ecuador,-1.3397668,-79.3666965,3
9208,Automotive Co.,North America,Bahamas,35.6729639,-79.0392919,0
9209,Automotive Co.,North America,Bahamas,27.7567667,-81.4639835,0
9210,Fashion Co.,North America,United States,43.6534817,-79.3839347,-4
9211,Media Co.,Asia,Cyprus,34.9823018,33.1451285,2
9212,Media Co.,Asia,Russian Federation,64.6863136,97.7453061,1
9213,Media Co.,North America,Bermuda,40.7127281,-74.0060152,3
9214,Fashion Co.,Europe,United Kingdom,51.5073219,-0.1276474,2
9215,Automotive Co.,Africa,Swaziland,-26.205,28.049722,0
9216,Automotive Co.,Africa,Benin,6.4550575,3.3941795,-3
